Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
1989,Japan,0.6545966245858781,0.4927528565382988,0.6474400584536701,0.7340741486248344,0.6887538279960318,0.2565961148158887,0.9512195121951219,Asia
1990,Japan,0.6568432943211984,0.4782585696148963,0.6489766560099254,0.7356689867301839,0.6903181991067682,0.2803711220643665,0.9512195121951219,Asia
1991,Japan,0.6592785557495555,0.4637642826914939,0.6503240646768152,0.7374124878224622,0.6918544949790024,0.2990721948390838,0.9634146341463414,Asia
1992,Japan,0.6618459280767269,0.4637642826914939,0.6515491451870317,0.7394177936439337,0.6934516466754761,0.30849521600463903,0.9634146341463414,Asia
1993,Japan,0.6644168841833643,0.44926999576809146,0.6526399045840378,0.7416355691325647,0.6950798536637011,0.31516381559872425,0.9634146341463414,Asia
1994,Japan,0.6667954606441563,0.44926999576809146,0.6537681419702209,0.7440697610933176,0.69683087021476,0.3231371412003479,0.9634146341463414,Asia
1995,Japan,0.6688466451496261,0.44926999576809146,0.654776749614951,0.7466240017050197,0.6985765540389525,0.33473470571180053,0.9634146341463414,Asia
1996,Japan,0.6705203937388353,0.43477570884468897,0.6557268915965653,0.7493831472743694,0.700389367483698,0.35024644824586837,0.975609756097561,Asia
1997,Japan,0.671883019764361,0.43477570884468897,0.6564173860691616,0.7521024958936784,0.7020473750044113,0.3619889823137141,0.975609756097561,Asia
1998,Japan,0.6730542171619806,0.43477570884468897,0.6566917249499369,0.7544945886014958,0.7033316211097561,0.3579298347347057,0.975609756097561,Asia
1999,Japan,0.6742075117812183,0.42028142192128654,0.6568296439501081,0.7567705794633266,0.7044891365295712,0.3615540736445346,0.975609756097561,Asia
2000,Japan,0.6754627694932982,0.40578713499788405,0.6571789388092373,0.7590097334788389,0.7057396609797317,0.38199478109596985,0.9878048780487805,Asia
2001,Japan,0.6768577247557754,0.42028142192128654,0.657449979626965,0.7610518761466291,0.706855298809155,0.3919976804870977,0.9878048780487805,Asia
